PN结 PN接面
引导程序 載入程式
汇编 彙編
汇编语言 組合語言
后缀 字尾
循环 迴圈
性价比 價效比
性能 效能
截取 擷取
截屏 截圖
打印 列印
打印机 印表機
打开 開啟
批量 批次
抛出 丟擲
拷贝 複製
持久性 永續性
指针 指標
卷积 摺積
扫描仪 掃描器
挂断 結束通話
采样 取樣
采样率 取樣率
接口 介面
控件 控制元件
插件 外掛
搜索 搜尋
操作数 運算元
操作符 運算子
操作系统 作業系統
扩展 擴充套件
扩展名 副檔名
支持 支援
支持者 支持者
散列 雜湊
数字 數字
数字印刷 數位印刷
数字电子 數位電子
数字电路 數位電路
数据 資料
数据仓库 資料倉儲
数据报 資料包
数据库 資料庫
数据挖掘 資料探勘
数据源 資料來源
数组 陣列
文件 檔案
文件名 檔名
文件夹 資料夾
文件扩展名 副檔名
文字处理 文書處理
文本 文字
文档 文件
映射 對映
时分多址 分時多重進接
时分复用 分時多工
时钟频率 時脈頻率
晶闸管 閘流體
晶体管 電晶體
智能 智慧
最终用户 終端使用者
有损压缩 有失真壓縮
服务器 伺服器
本地代码 原生代碼
析构函数 解構函式
枚举 列舉
查找 查詢
查看 檢視
桌面型 桌上型
构造函数 建構函式
标识符 識別符號
模块 模組
模拟 模擬
模拟电子 類比電子
模拟电路 類比電路
权限 許可權
正则表达式 正規表示式
死机 宕機
杀毒 防毒
比特 位元
比特币 比特幣
比特率 位元率
波分复用 波長分波多工
消息 訊息
添加 新增
源代码 原始碼
源文件 原始檔
源码 原始碼
溢出 溢位
滚动条 捲軸
演示文稿 簡報
激光 鐳射
激活 啟用
无损压缩 無失真壓縮
物理内存 實體記憶體
物理地址 實體地址
状态栏 狀態列
用户 使用者
用户名 使用者名稱
界面 介面
异步 非同步
登录 登入
发布 釋出
发送 傳送
皮肤 面板
盘片 碟片
盘符 碟符
目标代码 目的碼
相册 相簿
矢量 向量
知识产权 智慧財產權
短信 簡訊
硬件 硬體
硬盘 硬碟
码分多址 分碼多重進接
码率 位元速率
磁盘 磁碟
磁道 磁軌
社区 社羣
移动硬盘 行動硬碟
移动网络 行動網路
移动资料 行動資料
移动通信 行動通訊
移动电话 行動電話
程序 程式
程序员 程式設計師
空分多址 分空間多重進接
空分复用 空間多工
窗口 視窗
端口 埠
笔记本电脑 膝上型電腦
算子 運算元
算法 演算法
范式 正規化
粘贴 貼上
红心大战 傷心小棧
组件 元件
绑定 繫結
网上邻居 網路上的芳鄰
网卡 網絡卡
网吧 網咖
网络 網路
网关 閘道器
线程 執行緒
编程 程式設計
编程语言 程式語言
缓存 快取
缩略图 縮圖
缩进 縮排
总线 匯流排
缺省 預設
联系 聯絡
联系历史 通話記錄
声卡 音效卡
声明 宣告
脱机 離線
脚本 指令碼
自动转屏 自動旋轉螢幕
台式机 桌上型電腦
航天飞机 太空梭
芯片 晶片
花屏 破圖
菜单 選單
万维网 全球資訊網
蓝屏 藍色畫面
蓝牙 藍芽
虚函数 虛擬函式
虚拟机 虛擬機器
表达式 表示式
复印 影印
复选按钮 覈取按鈕
复选框 覈取方塊
视图 檢視
视频 影片
视频会议 視訊會議
视频通话 視訊通話
解释器 直譯器
触摸 觸控
触摸屏 觸控式螢幕
计算机安全 電腦保安
计算机科学 電腦科學
访问 訪問
设备 裝置
设置 設定
注册机 序號產生器
注册表 登錄檔
注销 登出
调制 調變
调度 排程
调用 呼叫
调色板 調色盤
调制解调器 數據機
调试 除錯
调试器 偵錯程式
变量 變數
软件 軟體
软驱 軟碟機
转义字符 跳脫字元
通信 通訊
通讯卡 通話卡
通配符 萬用字元
连接 連線
连接器 聯結器
进制 進位制
进程 程序
运算符 運算子
运行 執行
过程式编程 程序式程式設計
递归 遞迴
远程 遠端
适配器 介面卡
逻辑门 邏輯閘
重命名 重新命名
重装 重灌
重载 過載
金属氧化物半导体 金氧半導體
录像 錄影
链接 連結
链表 連結串列
镜像 映象
门户网站 入口網站
门电路 閘電路
闪存 快閃記憶體
关系数据库 關聯式資料庫
队列 佇列
集成 整合
集成电路 積體電路
集群 叢集
云存储 雲端儲存
云计算 雲端計算
面向对象 物件導向
面向过程 程序導向
音频 音訊
页眉 頁首
页脚 頁尾
项目 專案
预处理器 前處理器
头文件 標頭檔案
频分多址 分頻多重進接
频分复用 分頻多工
类型 型別
类模板 類别範本
显像管 映象管
显卡 顯示卡
显存 視訊記憶體
飞行模式 飛航模式
首席信息官 資訊長
首席执行官 執行長
首席技术官 技術長
首席运营官 營運長
高性能计算 高效能運算
高清 高畫質
高端 高階
高级 高階
高速缓存 快取記憶體
黑客 駭客
默认 預設
默认值 預設值
点击 點選
鼠标 滑鼠
乍得 查德
也门 葉門
仙童半导体 快捷半導體
伯利兹 貝里斯
佛得角 維德角
傅里叶 傅立葉
克罗地亚 克羅埃西亞
列支敦士登 列支敦斯登
利比里亚 賴比瑞亞
加纳 迦納
加蓬 加彭
博茨瓦纳 波札那
卡塔尔 卡達
危地马拉 瓜地馬拉
厄瓜多尔 厄瓜多
厄立特里亚 厄利垂亞
吉布堤 吉布地
哈萨克斯坦 哈薩克
哥斯达黎加 哥斯大黎加
吃茶小舖 喫茶小舖
图瓦卢 吐瓦魯
土库曼斯坦 土庫曼
圭亚那 蓋亞那
坦桑尼亚 坦尚尼亞
埃塞俄比亚 衣索比亞
基里巴斯 吉里巴斯
塔吉克斯坦 塔吉克
塞拉利昂 獅子山
塞浦路斯 塞普勒斯
塞舌尔 塞席爾
多米尼加 多明尼加
安提瓜和巴布达 安地卡及巴布達
尼日利亚 奈及利亞
尼日尔 尼日
冈比亚 甘比亞
巴巴多斯 巴貝多
巴布亚新几内亚 巴布亞紐幾內亞
布基纳法索 布吉納法索
布隆迪 蒲隆地
帕劳 帛琉
几内亚比绍 幾內亞比索
意大利 義大利
所罗门群岛 索羅門羣島
文莱 汶萊
斯威士兰 史瓦濟蘭
斯洛文尼亚 斯洛維尼亞
新西兰 紐西蘭
格林纳达 格瑞那達
格鲁吉亚 喬治亞
欧拉 尤拉
毛里塔尼亚 茅利塔尼亞
毛里求斯 模里西斯
沙特阿拉伯 沙烏地阿拉伯
波斯尼亚黑塞哥维那 波士尼亞赫塞哥維納
津巴布韦 辛巴威
洪都拉斯 宏都拉斯
温纳图万 那杜
乌兹别克斯坦 烏茲別克
特立尼达和多巴哥 千里達及托巴哥
瑙鲁 諾魯
瓦努阿图 萬那杜
卢旺达 盧安達
科摩罗 葛摩
科特迪瓦 象牙海岸
突尼斯 突尼西亞
纯吃茶 純喫茶
索马里 索馬利亞
老挝 寮國
圣基茨和尼维斯 聖克里斯多福及尼維斯
圣文森特和格林纳丁斯 聖文森及格瑞那丁
圣卢西亚 聖露西亞
圣马力诺 聖馬利諾
肯尼亚 肯亞
莫桑比克 莫三比克
莱索托 賴索托
万象 永珍
苏里南 蘇利南
贝宁 貝南
赞比亚 尚比亞
阿塞拜疆 亞塞拜然
阿拉伯联合酋长国 阿拉伯聯合大公國
香农 夏農
马尔代夫 馬爾地夫
马里共和国 馬利共和國
元音 母音
冰棍 冰棒
出租车 計程車
咖喱 咖哩
塑料 塑膠
奔驰 賓士
奶酪 乳酪
几率 機率
方便面 泡麵
李彦宏 李彥宏
概率 機率
海内存知己 海內存知己
凉菜 冷盤
的士 計程車
程序不正义 程序不正義
程序正义 程序正義
空气净化器 空氣清淨機
纳米 奈米
自行车 腳踏車
词组 片語
蹦极 高空彈跳
辅音 子音
通过 透過
黄宏 黃宏
一口吃个 一口喫個
一口吃成 一口喫成
一家三口 一家三口
一家五口 一家五口
一家六口 一家六口
一家四口 一家四口
凶事 凶事
凶信 凶信
凶兆 凶兆
凶吉 凶吉
凶地 凶地
凶多吉少 凶多吉少
凶宅 凶宅
凶年 凶年
凶德 凶德
凶怪 凶怪
凶日 凶日
凶服 凶服
凶岁 凶歲
凶死 凶死
凶气 凶氣
凶煞 凶煞
凶燄 凶燄
凶神 凶神
凶礼 凶禮
凶耗 凶耗
凶肆 凶肆
凶荒 凶荒
凶讯 凶訊
凶竖 凶豎
凶身 凶身
凶逆 凶逆
凶门 凶門
口吃 口吃
吃口 喫口
吃口令 吃口令
吃口饭 喫口飯
吃吃 喫喫
吃子 喫子
合著 合著
吉凶 吉凶
名著 名著
四凶 四凶
大凶 大凶
巨著 巨著
张口 張口
昭著 昭著
岁凶 歲凶
胃口 胃口
著作 著作
著名 著名
著式 著式
著志 著志
著于 著於
著书 著書
著白 著白
著称 著稱
著者 著者
著述 著述
著录 著錄
蹇吃 蹇吃
逢凶 逢凶
避凶 避凶
邓艾吃 鄧艾吃
巨著 鉅著
开口 開口
闵凶 閔凶
显著 顯著
